"No.","Time","MACSrc","Source","PortSrc","Protocol","MACDest","Destination","PortDst","Info","Length"
"302795","5974.903953","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","Authentication, SN=1112, FN=0, Flags=........","30"
"308562","6088.387362","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Authentication, SN=1175, FN=0, Flags=........","30"
"308563","6088.388161","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","Authentication, SN=1684, FN=0, Flags=........","30"
"311809","6148.440757","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=148, FN=0, Flags=........","30"
"311810","6148.441329","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=148, FN=0, Flags=....R...","30"
"311811","6148.441925","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=148, FN=0, Flags=....R...","30"
"311812","6148.443617","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=148, FN=0, Flags=....R...","30"
"311813","6148.444311","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=148, FN=0, Flags=....R...","30"
"311814","6148.445004","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=148, FN=0, Flags=....R...","30"
"311815","6148.447125","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=148, FN=0, Flags=....R...","30"
"311816","6148.448638","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=148, FN=0, Flags=....R...","30"
"314471","6181.743468","00:11:24:a0:a0:9b","Apple_a0:a0:9b","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Authentication, SN=111, FN=0, Flags=........","30"
"314472","6181.744293","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:24:a0:a0:9b","Apple_a0:a0:9b","","Authentication, SN=1627, FN=0, Flags=........","30"
"324276","6304.760057","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Authentication, SN=1247, FN=0, Flags=........","30"
"324277","6304.762085","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","Authentication, SN=646, FN=0, Flags=........","30"
"328355","6347.798786","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:0b:4d:d7","AskeyCom_0b:4d:d7","","Authentication, SN=3880, FN=0, Flags=........","30"
